Production_budget,Worldwide_gross
8000000,143782
82500000,143985708
50000000,144110682
18000000,144529078
30000,144822
40000000,145238250
1600000,145382
100000000,145395745
61000000,145594548
69000000,145951861
8000000,146083
25000000,146149
50000000,146195159
40000000,146196885
4000000,146402
22000000,146590987
35000000,146595891
26000000,146850273
80000000,147080413
50000000,147142328
14500000,147542381
62000000,147924595
60000000,147985373
15000000,148095566
65000000,148345997
17500000,148586910
86000000,148715342
5000000,148806510
9000000,148826
11000000,148950631
55000000,149022650
57000000,149217355
25000000,149228078
51000000,149270999
12000000,149570720
60000000,149705852
85000000,149717124
40000000,149804632
45000000,149871103
36500000,15000000
5000000,15000000
4000000,15000000
3000000,15000000
8500000,15024232
10000000,15037867
20000000,15055091
14000000,15064948
5800000,15091
19400000,15118795
10000000,15121528
5000000,15126948
15000000,15136870
6000000,15137932
250000,15155095
1000000,15156
10000000,15164492
14000000,15171475
7000000,15193977
4900000,15198
10000000,15198912
150000,15200000
5000000,15220308
10000000,15297318
2600000,15298355
30000000,15313631
5000000,15318257
30000000,15358583
15000000,15364632
2000000,15396525
22000000,15434375
42000000,15451663
28500000,15452978
35000000,15461638
20000000,15466961
25000000,15468266
7000000,15471229
35000000,15471969
20000000,15473333
50000000,15505922
1700000,15517886
15000000,15554855
14000000,15565357
2700000,15600000
8000000,15644196
9000000,15660664
17000000,15680099
18000000,15696146
5500000,15700000
22000000,15716828
23000000,15728335
8000000,15752575
38000000,15779653
27500000,15815509
20000000,15824374
31000000,15826984
5500000,15867314
25000000,15907411
19000000,15911332
3000000,15935068
1000000,15943081
16000000,15980376
46000000,150000000
10000000,150191
20000000,150345863
85000000,150422946
50000000,150429371
110000000,150468000
20700000,150472713
79000000,150519217
30000000,150832086
40000000,150886329
48000000,151463090
23000000,151496097
150000000,151525973
18000000,151668774
175000000,151716815
65000000,151946972
55000000,151947179
50000000,152022333
32000000,152036382
40000000,152266007
55000000,152269033
110000000,152364370
500000,152449
60000000,152457863
25000000,152500343
37000000,152566881
30000000,152627960
5000000,152925093
40000000,152962083
57000000,153007424
55000000,153535982
20000000,153698625
25000000,153733800
55000000,153770052
20000000,154218168
54000000,154338601
14000000,155008909
40000000,155011165
45000000,155200000
9000000,155313078
27000000,155564919
75000000,155708695
90000000,155750628
30000000,155769678
45000000,155931301
42000000,156167015
24000000,156229050
3000000,156362
50000000,156399644
40000000,156553592
160000,156612
70000000,156815529
30000000,156822020
65000000,156974557
90000000,157092943
36000000,157300954
60000000,157670733
85000000,157794205
135000000,157956466
55000000,158500000
40000000,158527918
70000000,158702748
80000000,158750817
58000000,158905324
80000000,158908290
80000000,158926474
10000000,158973685
14400000,159157447
60000000,159356941
55000000,159387195
30000000,159423384
88000000,159487563
5500000,159616327
95000000,159691085
50000000,159745279
35000000,159846429
60000000,159946489
